Model,Data,NoModality,Textual,Visual,Audio,NoFusion,FusedPCA,FusedCCA,Recall10,NDCG10,ColdRate10,Coverage10,PopBias,Fairness,Novelty,Diversity,CalibrationBias
AMR,Audio-iVector,0,0,0,1,1,0,0,0.235,0.356,0.016,0.869,0.026,0.343,11.271,0.733,3.389
AMR,rawOpenAI-CNN-BLF,0,1,1,1,0,1,0,0.168,0.251,0.01,0.947,0.03,0.304,11.16,0.764,3.407
AMR,rawOpenAI-CNN-IV,0,1,1,1,0,1,0,0.16,0.25,0.012,0.937,0.025,0.314,11.162,0.776,3.189
AMR,rawOpenAI-AVF-BLF,0,1,1,1,0,1,0,0.183,0.276,0.012,0.953,0.029,0.314,11.075,0.758,3.349
AMR,rawOpenAI-AVF-IV,0,1,1,1,0,1,0,0.178,0.271,0.009,0.948,0.028,0.327,11.111,0.753,3.406
AMR,llmOpenAI-CNN-BLF,0,1,1,1,0,1,0,0.166,0.25,0.011,0.947,0.024,0.327,11.237,0.768,3.303
AMR,llmOpenAI-CNN-IV,0,1,1,1,0,1,0,0.161,0.246,0.015,0.951,0.024,0.314,11.302,0.788,3.172
AMR,llmLlama-CNN-IV,0,1,1,1,0,1,0,0.158,0.24,0.006,0.935,0.031,0.32,11.151,0.786,3.083
AMR,llmST-CNN-IV,0,1,1,1,0,1,0,0.153,0.235,0.003,0.912,0.026,0.318,11.174,0.793,3.102
AMR,llmOpenAI-AVF-BLF,0,1,1,1,0,1,0,0.187,0.278,0.009,0.962,0.026,0.35,11.218,0.764,3.198
AMR,llmOpenAI-AVF-IV,0,1,1,1,0,1,0,0.175,0.263,0.002,0.96,0.023,0.374,11.288,0.767,3.161
AMR,rawOpenAI-CNN-BLF,0,1,1,1,0,0,1,0.204,0.314,0.019,0.906,0.026,0.307,11.199,0.758,3.146
AMR,rawOpenAI-CNN-IV,0,1,1,1,0,0,1,0.2,0.304,0.016,0.912,0.024,0.33,11.278,0.766,3.067
AMR,rawOpenAI-AVF-BLF,0,1,1,1,0,0,1,0.195,0.299,0.014,0.935,0.026,0.336,11.218,0.762,3.122
AMR,rawOpenAI-AVF-IV,0,1,1,1,0,0,1,0.212,0.321,0.016,0.926,0.026,0.317,11.205,0.759,3.137
AMR,llmOpenAI-CNN-BLF,0,1,1,1,0,0,1,0.204,0.311,0.014,0.903,0.03,0.303,11.028,0.752,3.2
AMR,llmOpenAI-CNN-IV,0,1,1,1,0,0,1,0.195,0.299,0.011,0.895,0.028,0.313,11.117,0.766,3.065
AMR,llmLlama-CNN-IV,0,1,1,1,0,0,1,0.19,0.294,0.013,0.925,0.027,0.32,11.122,0.767,3.082
AMR,llmST-CNN-IV,0,1,1,1,0,0,1,0.2,0.309,0.016,0.892,0.025,0.327,11.251,0.758,3.253
AMR,llmOpenAI-AVF-BLF,0,1,1,1,0,0,1,0.218,0.335,0.017,0.882,0.026,0.326,11.219,0.745,3.283
AMR,llmOpenAI-AVF-IV,0,1,1,1,0,0,1,0.211,0.318,0.01,0.916,0.028,0.337,11.155,0.752,3.178
